variable,year,sex,name,n,prop
ADAM-1980,1980,M,ADAM,96,0.29
ADAM-1981,1981,M,ADAM,105,0.32
ADAM-1982,1982,M,ADAM,98,0.32
ADAM-1983,1983,M,ADAM,149,0.48
ADAM-1984,1984,M,ADAM,124,0.4
ADAM-1985,1985,M,ADAM,126,0.42
ADAM-1986,1986,M,ADAM,113,0.39
ADAM-1987,1987,M,ADAM,122,0.42
ADAM-1988,1988,M,ADAM,115,0.38
ADAM-1989,1989,M,ADAM,126,0.39
ADAM-1990,1990,M,ADAM,106,0.31
ADAM-1991,1991,M,ADAM,112,0.33
ADAM-1992,1992,M,ADAM,101,0.31
ADAM-1993,1993,M,ADAM,76,0.24
ADAM-1994,1994,M,ADAM,102,0.33
ADAM-1995,1995,M,ADAM,105,0.35
ADAM-1996,1996,M,ADAM,106,0.37
ADAM-1997,1997,M,ADAM,151,0.58
ADAM-1998,1998,M,ADAM,124,0.51
ADAM-1999,1999,M,ADAM,128,0.54
ADAM-2000,2000,M,ADAM,139,0.61
ADAM-2001,2001,M,ADAM,167,0.71
ADAM-2002,2002,M,ADAM,187,0.83
ADAM-2003,2003,M,ADAM,238,1.06
ADAM-2004,2004,M,ADAM,269,1.23
ADAM-2005,2005,M,ADAM,303,1.39
ADAM-2006,2006,M,ADAM,326,1.41
ADAM-2007,2007,M,ADAM,364,1.58
ADAM-2008,2008,M,ADAM,430,1.82
ADAM-2009,2009,M,ADAM,405,1.72
ADAM-2010,2010,M,ADAM,382,1.69
ADAM-2011,2011,M,ADAM,374,1.69
ADAM-2012,2012,M,ADAM,467,2.11
ADAM-2013,2013,M,ADAM,432,2.02
ADAM-2014,2014,M,ADAM,412,2.04
ADAM-2015,2015,M,ADAM,427,2.16
ADAM-2016,2016,M,ADAM,423,2.23
ADAM-2017,2017,M,ADAM,379,2.25
ADAM-2018,2018,M,ADAM,378,2.33
ALEX-1980,1980,M,ALEX,65,0.2
ALEX-1981,1981,M,ALEX,53,0.16
ALEX-1982,1982,M,ALEX,57,0.18
ALEX-1983,1983,M,ALEX,70,0.23
ALEX-1984,1984,M,ALEX,100,0.32
ALEX-1985,1985,M,ALEX,107,0.35
ALEX-1986,1986,M,ALEX,141,0.48
ALEX-1987,1987,M,ALEX,177,0.61
ALEX-1988,1988,M,ALEX,208,0.69
ALEX-1989,1989,M,ALEX,273,0.85
ALEX-1990,1990,M,ALEX,361,1.06
ALEX-1991,1991,M,ALEX,417,1.23
ALEX-1992,1992,M,ALEX,499,1.53
ALEX-1993,1993,M,ALEX,538,1.71
ALEX-1994,1994,M,ALEX,550,1.78
ALEX-1995,1995,M,ALEX,582,1.96
ALEX-1996,1996,M,ALEX,453,1.59
ALEX-1997,1997,M,ALEX,417,1.59
ALEX-1998,1998,M,ALEX,388,1.59
ALEX-1999,1999,M,ALEX,358,1.51
ALEX-2000,2000,M,ALEX,313,1.36
ALEX-2001,2001,M,ALEX,313,1.34
ALEX-2002,2002,M,ALEX,266,1.19
ALEX-2003,2003,M,ALEX,213,0.95
ALEX-2004,2004,M,ALEX,235,1.07
ALEX-2005,2005,M,ALEX,204,0.94
ALEX-2006,2006,M,ALEX,230,1
ALEX-2007,2007,M,ALEX,221,0.96
ALEX-2008,2008,M,ALEX,235,0.99
ALEX-2009,2009,M,ALEX,257,1.09
ALEX-2010,2010,M,ALEX,202,0.89
ALEX-2011,2011,M,ALEX,189,0.85
ALEX-2012,2012,M,ALEX,161,0.73
ALEX-2013,2013,M,ALEX,180,0.84
ALEX-2014,2014,M,ALEX,160,0.79
ALEX-2015,2015,M,ALEX,156,0.79
ALEX-2016,2016,M,ALEX,129,0.68
ALEX-2017,2017,M,ALEX,122,0.72
ALEX-2018,2018,M,ALEX,98,0.6
ALEXANDER-1980,1980,M,ALEXANDER,32,0.1
ALEXANDER-1981,1981,M,ALEXANDER,34,0.1
ALEXANDER-1982,1982,M,ALEXANDER,54,0.17
ALEXANDER-1983,1983,M,ALEXANDER,53,0.17
ALEXANDER-1984,1984,M,ALEXANDER,73,0.24
ALEXANDER-1985,1985,M,ALEXANDER,82,0.27
ALEXANDER-1986,1986,M,ALEXANDER,82,0.28
ALEXANDER-1987,1987,M,ALEXANDER,88,0.3
ALEXANDER-1988,1988,M,ALEXANDER,111,0.37
ALEXANDER-1989,1989,M,ALEXANDER,116,0.36
ALEXANDER-1990,1990,M,ALEXANDER,137,0.4
ALEXANDER-1991,1991,M,ALEXANDER,110,0.33
ALEXANDER-1992,1992,M,ALEXANDER,101,0.31
ALEXANDER-1993,1993,M,ALEXANDER,97,0.31
ALEXANDER-1994,1994,M,ALEXANDER,150,0.49
ALEXANDER-1995,1995,M,ALEXANDER,120,0.4
ALEXANDER-1996,1996,M,ALEXANDER,118,0.41
ALEXANDER-1997,1997,M,ALEXANDER,112,0.43
ALEXANDER-1998,1998,M,ALEXANDER,109,0.45
ALEXANDER-1999,1999,M,ALEXANDER,105,0.44
ALEXANDER-2000,2000,M,ALEXANDER,79,0.34
ALEXANDER-2001,2001,M,ALEXANDER,72,0.31
ALEXANDER-2002,2002,M,ALEXANDER,73,0.33
ALEXANDER-2003,2003,M,ALEXANDER,89,0.4
ALEXANDER-2004,2004,M,ALEXANDER,97,0.44
ALEXANDER-2005,2005,M,ALEXANDER,107,0.49
ALEXANDER-2006,2006,M,ALEXANDER,84,0.36
ALEXANDER-2007,2007,M,ALEXANDER,90,0.39
ALEXANDER-2008,2008,M,ALEXANDER,97,0.41
ALEXANDER-2009,2009,M,ALEXANDER,90,0.38
ALEXANDER-2010,2010,M,ALEXANDER,84,0.37
ALEXANDER-2011,2011,M,ALEXANDER,84,0.38
ALEXANDER-2012,2012,M,ALEXANDER,69,0.31
ALEXANDER-2013,2013,M,ALEXANDER,91,0.43
ALEXANDER-2014,2014,M,ALEXANDER,89,0.44
ALEXANDER-2015,2015,M,ALEXANDER,90,0.46
ALEXANDER-2016,2016,M,ALEXANDER,73,0.39
ALEXANDER-2017,2017,M,ALEXANDER,65,0.39
ALEXANDER-2018,2018,M,ALEXANDER,72,0.44
ALEXANDRE-1980,1980,M,ALEXANDRE,999,3.05
ALEXANDRE-1981,1981,M,ALEXANDRE,1013,3.09
ALEXANDRE-1982,1982,M,ALEXANDRE,1039,3.35
ALEXANDRE-1983,1983,M,ALEXANDRE,1085,3.52
ALEXANDRE-1984,1984,M,ALEXANDRE,1157,3.75
ALEXANDRE-1985,1985,M,ALEXANDRE,1286,4.25
ALEXANDRE-1986,1986,M,ALEXANDRE,1496,5.1
ALEXANDRE-1987,1987,M,ALEXANDRE,1550,5.32
ALEXANDRE-1988,1988,M,ALEXANDRE,1710,5.68
ALEXANDRE-1989,1989,M,ALEXANDRE,1862,5.81
ALEXANDRE-1990,1990,M,ALEXANDRE,1838,5.4
ALEXANDRE-1991,1991,M,ALEXANDRE,1877,5.55
ALEXANDRE-1992,1992,M,ALEXANDRE,1835,5.64
ALEXANDRE-1993,1993,M,ALEXANDRE,1777,5.66
ALEXANDRE-1994,1994,M,ALEXANDRE,1873,6.08
ALEXANDRE-1995,1995,M,ALEXANDRE,1582,5.33
ALEXANDRE-1996,1996,M,ALEXANDRE,1347,4.72
ALEXANDRE-1997,1997,M,ALEXANDRE,1040,3.97
ALEXANDRE-1998,1998,M,ALEXANDRE,930,3.81
ALEXANDRE-1999,1999,M,ALEXANDRE,879,3.71
ALEXANDRE-2000,2000,M,ALEXANDRE,761,3.32
ALEXANDRE-2001,2001,M,ALEXANDRE,717,3.07
ALEXANDRE-2002,2002,M,ALEXANDRE,606,2.7
ALEXANDRE-2003,2003,M,ALEXANDRE,544,2.43
ALEXANDRE-2004,2004,M,ALEXANDRE,486,2.22
ALEXANDRE-2005,2005,M,ALEXANDRE,504,2.32
ALEXANDRE-2006,2006,M,ALEXANDRE,568,2.46
ALEXANDRE-2007,2007,M,ALEXANDRE,534,2.31
ALEXANDRE-2008,2008,M,ALEXANDRE,537,2.27
ALEXANDRE-2009,2009,M,ALEXANDRE,480,2.04
ALEXANDRE-2010,2010,M,ALEXANDRE,431,1.91
ALEXANDRE-2011,2011,M,ALEXANDRE,383,1.73
ALEXANDRE-2012,2012,M,ALEXANDRE,353,1.59
ALEXANDRE-2013,2013,M,ALEXANDRE,320,1.49
ALEXANDRE-2014,2014,M,ALEXANDRE,289,1.43
ALEXANDRE-2015,2015,M,ALEXANDRE,264,1.34
ALEXANDRE-2016,2016,M,ALEXANDRE,205,1.08
ALEXANDRE-2017,2017,M,ALEXANDRE,186,1.1
ALEXANDRE-2018,2018,M,ALEXANDRE,157,0.97
ALEXIS-1980,1980,M,ALEXIS,91,0.28
ALEXIS-1981,1981,M,ALEXIS,78,0.24
ALEXIS-1982,1982,M,ALEXIS,81,0.26
ALEXIS-1983,1983,M,ALEXIS,85,0.28
ALEXIS-1984,1984,M,ALEXIS,82,0.27
ALEXIS-1985,1985,M,ALEXIS,90,0.3
ALEXIS-1986,1986,M,ALEXIS,77,0.26
ALEXIS-1987,1987,M,ALEXIS,72,0.25
ALEXIS-1988,1988,M,ALEXIS,75,0.25
ALEXIS-1989,1989,M,ALEXIS,107,0.33
ALEXIS-1990,1990,M,ALEXIS,126,0.37
ALEXIS-1991,1991,M,ALEXIS,135,0.4
ALEXIS-1992,1992,M,ALEXIS,172,0.53
ALEXIS-1993,1993,M,ALEXIS,192,0.61
ALEXIS-1994,1994,M,ALEXIS,241,0.78
ALEXIS-1995,1995,M,ALEXIS,261,0.88
ALEXIS-1996,1996,M,ALEXIS,283,0.99
ALEXIS-1997,1997,M,ALEXIS,347,1.33
ALEXIS-1998,1998,M,ALEXIS,326,1.34
ALEXIS-1999,1999,M,ALEXIS,331,1.4
ALEXIS-2000,2000,M,ALEXIS,359,1.56
ALEXIS-2001,2001,M,ALEXIS,379,1.62
ALEXIS-2002,2002,M,ALEXIS,367,1.64
ALEXIS-2003,2003,M,ALEXIS,565,2.52
ALEXIS-2004,2004,M,ALEXIS,704,3.21
ALEXIS-2005,2005,M,ALEXIS,651,2.99
ALEXIS-2006,2006,M,ALEXIS,729,3.15
ALEXIS-2007,2007,M,ALEXIS,763,3.3
ALEXIS-2008,2008,M,ALEXIS,744,3.14
ALEXIS-2009,2009,M,ALEXIS,767,3.26
ALEXIS-2010,2010,M,ALEXIS,721,3.19
ALEXIS-2011,2011,M,ALEXIS,781,3.53
ALEXIS-2012,2012,M,ALEXIS,752,3.4
ALEXIS-2013,2013,M,ALEXIS,707,3.3
ALEXIS-2014,2014,M,ALEXIS,600,2.97
ALEXIS-2015,2015,M,ALEXIS,556,2.82
ALEXIS-2016,2016,M,ALEXIS,534,2.82
ALEXIS-2017,2017,M,ALEXIS,462,2.74
ALEXIS-2018,2018,M,ALEXIS,440,2.71
ANTHONY-1980,1980,M,ANTHONY,76,0.23
ANTHONY-1981,1981,M,ANTHONY,100,0.31
ANTHONY-1982,1982,M,ANTHONY,102,0.33
ANTHONY-1983,1983,M,ANTHONY,117,0.38
ANTHONY-1984,1984,M,ANTHONY,139,0.45
ANTHONY-1985,1985,M,ANTHONY,138,0.46
ANTHONY-1986,1986,M,ANTHONY,162,0.55
ANTHONY-1987,1987,M,ANTHONY,190,0.65
ANTHONY-1988,1988,M,ANTHONY,194,0.64
ANTHONY-1989,1989,M,ANTHONY,218,0.68
ANTHONY-1990,1990,M,ANTHONY,302,0.89
ANTHONY-1991,1991,M,ANTHONY,395,1.17
ANTHONY-1992,1992,M,ANTHONY,458,1.41
ANTHONY-1993,1993,M,ANTHONY,486,1.55
ANTHONY-1994,1994,M,ANTHONY,479,1.55
ANTHONY-1995,1995,M,ANTHONY,515,1.74
ANTHONY-1996,1996,M,ANTHONY,573,2.01
ANTHONY-1997,1997,M,ANTHONY,559,2.14
ANTHONY-1998,1998,M,ANTHONY,552,2.26
ANTHONY-1999,1999,M,ANTHONY,557,2.35
ANTHONY-2000,2000,M,ANTHONY,566,2.47
ANTHONY-2001,2001,M,ANTHONY,579,2.48
ANTHONY-2002,2002,M,ANTHONY,646,2.88
ANTHONY-2003,2003,M,ANTHONY,586,2.62
ANTHONY-2004,2004,M,ANTHONY,548,2.5
ANTHONY-2005,2005,M,ANTHONY,504,2.32
ANTHONY-2006,2006,M,ANTHONY,523,2.26
ANTHONY-2007,2007,M,ANTHONY,517,2.24
ANTHONY-2008,2008,M,ANTHONY,478,2.02
ANTHONY-2009,2009,M,ANTHONY,418,1.78
ANTHONY-2010,2010,M,ANTHONY,381,1.69
ANTHONY-2011,2011,M,ANTHONY,347,1.57
ANTHONY-2012,2012,M,ANTHONY,300,1.36
ANTHONY-2013,2013,M,ANTHONY,313,1.46
ANTHONY-2014,2014,M,ANTHONY,293,1.45
ANTHONY-2015,2015,M,ANTHONY,262,1.33
ANTHONY-2016,2016,M,ANTHONY,234,1.24
ANTHONY-2017,2017,M,ANTHONY,167,0.99
ANTHONY-2018,2018,M,ANTHONY,131,0.81
ANTOINE-1980,1980,M,ANTOINE,127,0.39
ANTOINE-1981,1981,M,ANTOINE,128,0.39
ANTOINE-1982,1982,M,ANTOINE,106,0.34
ANTOINE-1983,1983,M,ANTOINE,86,0.28
ANTOINE-1984,1984,M,ANTOINE,77,0.25
ANTOINE-1985,1985,M,ANTOINE,73,0.24
ANTOINE-1986,1986,M,ANTOINE,104,0.35
ANTOINE-1987,1987,M,ANTOINE,137,0.47
ANTOINE-1988,1988,M,ANTOINE,154,0.51
ANTOINE-1989,1989,M,ANTOINE,263,0.82
ANTOINE-1990,1990,M,ANTOINE,314,0.92
ANTOINE-1991,1991,M,ANTOINE,342,1.01
ANTOINE-1992,1992,M,ANTOINE,367,1.13
ANTOINE-1993,1993,M,ANTOINE,409,1.3
ANTOINE-1994,1994,M,ANTOINE,401,1.3
ANTOINE-1995,1995,M,ANTOINE,489,1.65
ANTOINE-1996,1996,M,ANTOINE,565,1.98
ANTOINE-1997,1997,M,ANTOINE,568,2.17
ANTOINE-1998,1998,M,ANTOINE,517,2.12
ANTOINE-1999,1999,M,ANTOINE,559,2.36
ANTOINE-2000,2000,M,ANTOINE,489,2.13
ANTOINE-2001,2001,M,ANTOINE,527,2.26
ANTOINE-2002,2002,M,ANTOINE,518,2.31
ANTOINE-2003,2003,M,ANTOINE,589,2.63
ANTOINE-2004,2004,M,ANTOINE,583,2.66
ANTOINE-2005,2005,M,ANTOINE,630,2.9
ANTOINE-2006,2006,M,ANTOINE,674,2.92
ANTOINE-2007,2007,M,ANTOINE,649,2.81
ANTOINE-2008,2008,M,ANTOINE,661,2.79
ANTOINE-2009,2009,M,ANTOINE,673,2.86
ANTOINE-2010,2010,M,ANTOINE,552,2.44
ANTOINE-2011,2011,M,ANTOINE,595,2.69
ANTOINE-2012,2012,M,ANTOINE,570,2.57
ANTOINE-2013,2013,M,ANTOINE,520,2.43
ANTOINE-2014,2014,M,ANTOINE,490,2.42
ANTOINE-2015,2015,M,ANTOINE,431,2.18
ANTOINE-2016,2016,M,ANTOINE,479,2.53
ANTOINE-2017,2017,M,ANTOINE,381,2.26
ANTOINE-2018,2018,M,ANTOINE,366,2.26
BENJAMIN-1980,1980,M,BENJAMIN,95,0.29
BENJAMIN-1981,1981,M,BENJAMIN,118,0.36
BENJAMIN-1982,1982,M,BENJAMIN,126,0.41
BENJAMIN-1983,1983,M,BENJAMIN,120,0.39
BENJAMIN-1984,1984,M,BENJAMIN,118,0.38
BENJAMIN-1985,1985,M,BENJAMIN,117,0.39
BENJAMIN-1986,1986,M,BENJAMIN,130,0.44
BENJAMIN-1987,1987,M,BENJAMIN,153,0.53
BENJAMIN-1988,1988,M,BENJAMIN,143,0.47
BENJAMIN-1989,1989,M,BENJAMIN,185,0.58
BENJAMIN-1990,1990,M,BENJAMIN,203,0.6
BENJAMIN-1991,1991,M,BENJAMIN,224,0.66
BENJAMIN-1992,1992,M,BENJAMIN,229,0.7
BENJAMIN-1993,1993,M,BENJAMIN,275,0.88
BENJAMIN-1994,1994,M,BENJAMIN,273,0.89
BENJAMIN-1995,1995,M,BENJAMIN,270,0.91
BENJAMIN-1996,1996,M,BENJAMIN,320,1.12
BENJAMIN-1997,1997,M,BENJAMIN,303,1.16
BENJAMIN-1998,1998,M,BENJAMIN,284,1.16
BENJAMIN-1999,1999,M,BENJAMIN,330,1.39
BENJAMIN-2000,2000,M,BENJAMIN,313,1.36
BENJAMIN-2001,2001,M,BENJAMIN,339,1.45
BENJAMIN-2002,2002,M,BENJAMIN,372,1.66
BENJAMIN-2003,2003,M,BENJAMIN,375,1.68
BENJAMIN-2004,2004,M,BENJAMIN,424,1.94
BENJAMIN-2005,2005,M,BENJAMIN,372,1.71
BENJAMIN-2006,2006,M,BENJAMIN,381,1.65
BENJAMIN-2007,2007,M,BENJAMIN,400,1.73
BENJAMIN-2008,2008,M,BENJAMIN,403,1.7
BENJAMIN-2009,2009,M,BENJAMIN,475,2.02
BENJAMIN-2010,2010,M,BENJAMIN,483,2.14
BENJAMIN-2011,2011,M,BENJAMIN,432,1.95
BENJAMIN-2012,2012,M,BENJAMIN,454,2.05
BENJAMIN-2013,2013,M,BENJAMIN,425,1.99
BENJAMIN-2014,2014,M,BENJAMIN,462,2.28
BENJAMIN-2015,2015,M,BENJAMIN,418,2.12
BENJAMIN-2016,2016,M,BENJAMIN,417,2.2
BENJAMIN-2017,2017,M,BENJAMIN,357,2.12
BENJAMIN-2018,2018,M,BENJAMIN,338,2.08
CEDRIC-1980,1980,M,CEDRIC,134,0.41
CEDRIC-1981,1981,M,CEDRIC,108,0.33
CEDRIC-1982,1982,M,CEDRIC,133,0.43
CEDRIC-1983,1983,M,CEDRIC,112,0.36
CEDRIC-1984,1984,M,CEDRIC,107,0.35
CEDRIC-1985,1985,M,CEDRIC,119,0.39
CEDRIC-1986,1986,M,CEDRIC,87,0.3
CEDRIC-1987,1987,M,CEDRIC,100,0.34
CEDRIC-1988,1988,M,CEDRIC,113,0.38
CEDRIC-1989,1989,M,CEDRIC,158,0.49
CEDRIC-1990,1990,M,CEDRIC,174,0.51
CEDRIC-1991,1991,M,CEDRIC,203,0.6
CEDRIC-1992,1992,M,CEDRIC,226,0.69
CEDRIC-1993,1993,M,CEDRIC,200,0.64
CEDRIC-1994,1994,M,CEDRIC,242,0.79
CEDRIC-1995,1995,M,CEDRIC,244,0.82
CEDRIC-1996,1996,M,CEDRIC,257,0.9
CEDRIC-1997,1997,M,CEDRIC,255,0.97
CEDRIC-1998,1998,M,CEDRIC,250,1.02
CEDRIC-1999,1999,M,CEDRIC,248,1.05
CEDRIC-2000,2000,M,CEDRIC,233,1.02
CEDRIC-2001,2001,M,CEDRIC,208,0.89
CEDRIC-2002,2002,M,CEDRIC,175,0.78
CEDRIC-2003,2003,M,CEDRIC,166,0.74
CEDRIC-2004,2004,M,CEDRIC,196,0.9
CEDRIC-2005,2005,M,CEDRIC,160,0.74
CEDRIC-2006,2006,M,CEDRIC,174,0.75
CEDRIC-2007,2007,M,CEDRIC,162,0.7
CEDRIC-2008,2008,M,CEDRIC,152,0.64
CEDRIC-2009,2009,M,CEDRIC,126,0.54
CEDRIC-2010,2010,M,CEDRIC,85,0.38
CEDRIC-2011,2011,M,CEDRIC,115,0.52
CEDRIC-2012,2012,M,CEDRIC,111,0.5
CEDRIC-2013,2013,M,CEDRIC,89,0.42
CEDRIC-2014,2014,M,CEDRIC,74,0.37
CEDRIC-2015,2015,M,CEDRIC,70,0.35
CEDRIC-2016,2016,M,CEDRIC,54,0.29
CEDRIC-2017,2017,M,CEDRIC,50,0.3
CEDRIC-2018,2018,M,CEDRIC,40,0.25
CHARLES-1980,1980,M,CHARLES,319,0.97
CHARLES-1981,1981,M,CHARLES,316,0.96
CHARLES-1982,1982,M,CHARLES,340,1.1
CHARLES-1983,1983,M,CHARLES,321,1.04
CHARLES-1984,1984,M,CHARLES,312,1.01
CHARLES-1985,1985,M,CHARLES,294,0.97
CHARLES-1986,1986,M,CHARLES,283,0.96
CHARLES-1987,1987,M,CHARLES,264,0.91
CHARLES-1988,1988,M,CHARLES,318,1.06
CHARLES-1989,1989,M,CHARLES,388,1.21
CHARLES-1990,1990,M,CHARLES,390,1.15
CHARLES-1991,1991,M,CHARLES,416,1.23
CHARLES-1992,1992,M,CHARLES,426,1.31
CHARLES-1993,1993,M,CHARLES,410,1.31
CHARLES-1994,1994,M,CHARLES,388,1.26
CHARLES-1995,1995,M,CHARLES,381,1.28
CHARLES-1996,1996,M,CHARLES,336,1.18
CHARLES-1997,1997,M,CHARLES,370,1.41
CHARLES-1998,1998,M,CHARLES,354,1.45
CHARLES-1999,1999,M,CHARLES,360,1.52
CHARLES-2000,2000,M,CHARLES,372,1.62
CHARLES-2001,2001,M,CHARLES,334,1.43
CHARLES-2002,2002,M,CHARLES,270,1.2
CHARLES-2003,2003,M,CHARLES,284,1.27
CHARLES-2004,2004,M,CHARLES,299,1.37
CHARLES-2005,2005,M,CHARLES,286,1.32
CHARLES-2006,2006,M,CHARLES,313,1.35
CHARLES-2007,2007,M,CHARLES,361,1.56
CHARLES-2008,2008,M,CHARLES,351,1.48
CHARLES-2009,2009,M,CHARLES,378,1.61
CHARLES-2010,2010,M,CHARLES,359,1.59
CHARLES-2011,2011,M,CHARLES,378,1.71
CHARLES-2012,2012,M,CHARLES,394,1.78
CHARLES-2013,2013,M,CHARLES,402,1.88
CHARLES-2014,2014,M,CHARLES,408,2.02
CHARLES-2015,2015,M,CHARLES,434,2.2
CHARLES-2016,2016,M,CHARLES,386,2.04
CHARLES-2017,2017,M,CHARLES,387,2.3
CHARLES-2018,2018,M,CHARLES,387,2.39
CHRISTOPHER-1980,1980,M,CHRISTOPHER,132,0.4
CHRISTOPHER-1981,1981,M,CHRISTOPHER,137,0.42
CHRISTOPHER-1982,1982,M,CHRISTOPHER,192,0.62
CHRISTOPHER-1983,1983,M,CHRISTOPHER,209,0.68
CHRISTOPHER-1984,1984,M,CHRISTOPHER,215,0.7
CHRISTOPHER-1985,1985,M,CHRISTOPHER,257,0.85
CHRISTOPHER-1986,1986,M,CHRISTOPHER,266,0.91
CHRISTOPHER-1987,1987,M,CHRISTOPHER,299,1.03
CHRISTOPHER-1988,1988,M,CHRISTOPHER,307,1.02
CHRISTOPHER-1989,1989,M,CHRISTOPHER,328,1.02
CHRISTOPHER-1990,1990,M,CHRISTOPHER,380,1.12
CHRISTOPHER-1991,1991,M,CHRISTOPHER,365,1.08
CHRISTOPHER-1992,1992,M,CHRISTOPHER,336,1.03
CHRISTOPHER-1993,1993,M,CHRISTOPHER,285,0.91
CHRISTOPHER-1994,1994,M,CHRISTOPHER,337,1.09
CHRISTOPHER-1995,1995,M,CHRISTOPHER,298,1
CHRISTOPHER-1996,1996,M,CHRISTOPHER,310,1.09
CHRISTOPHER-1997,1997,M,CHRISTOPHER,256,0.98
CHRISTOPHER-1998,1998,M,CHRISTOPHER,296,1.21
CHRISTOPHER-1999,1999,M,CHRISTOPHER,262,1.11
CHRISTOPHER-2000,2000,M,CHRISTOPHER,250,1.09
CHRISTOPHER-2001,2001,M,CHRISTOPHER,225,0.96
CHRISTOPHER-2002,2002,M,CHRISTOPHER,207,0.92
CHRISTOPHER-2003,2003,M,CHRISTOPHER,207,0.92
CHRISTOPHER-2004,2004,M,CHRISTOPHER,162,0.74
CHRISTOPHER-2005,2005,M,CHRISTOPHER,159,0.73
CHRISTOPHER-2006,2006,M,CHRISTOPHER,147,0.64
CHRISTOPHER-2007,2007,M,CHRISTOPHER,132,0.57
CHRISTOPHER-2008,2008,M,CHRISTOPHER,165,0.7
CHRISTOPHER-2009,2009,M,CHRISTOPHER,136,0.58
CHRISTOPHER-2010,2010,M,CHRISTOPHER,116,0.51
CHRISTOPHER-2011,2011,M,CHRISTOPHER,94,0.42
CHRISTOPHER-2012,2012,M,CHRISTOPHER,96,0.43
CHRISTOPHER-2013,2013,M,CHRISTOPHER,89,0.42
CHRISTOPHER-2014,2014,M,CHRISTOPHER,66,0.33
CHRISTOPHER-2015,2015,M,CHRISTOPHER,72,0.37
CHRISTOPHER-2016,2016,M,CHRISTOPHER,80,0.42
CHRISTOPHER-2017,2017,M,CHRISTOPHER,47,0.28
CHRISTOPHER-2018,2018,M,CHRISTOPHER,53,0.33
DANIEL-1980,1980,M,DANIEL,643,1.96
DANIEL-1981,1981,M,DANIEL,592,1.81
DANIEL-1982,1982,M,DANIEL,465,1.5
DANIEL-1983,1983,M,DANIEL,462,1.5
DANIEL-1984,1984,M,DANIEL,437,1.41
DANIEL-1985,1985,M,DANIEL,401,1.32
DANIEL-1986,1986,M,DANIEL,354,1.21
DANIEL-1987,1987,M,DANIEL,269,0.92
DANIEL-1988,1988,M,DANIEL,279,0.93
DANIEL-1989,1989,M,DANIEL,305,0.95
DANIEL-1990,1990,M,DANIEL,276,0.81
DANIEL-1991,1991,M,DANIEL,270,0.8
DANIEL-1992,1992,M,DANIEL,247,0.76
DANIEL-1993,1993,M,DANIEL,225,0.72
DANIEL-1994,1994,M,DANIEL,233,0.76
